style,type,value,system,,
Guttural,family_name,Vrakir,dungeons & dragons (2024),,
Guttural,family_name,Yuldra,dungeons & dragons (2024),,
Guttural,family_name,Zulrax,dungeons & dragons (2024),,
Lyrical,given_name,Arannis,dungeons & dragons (2024),,
Lyrical,given_name,Damaia,dungeons & dragons (2024),,
Lyrical,given_name,Darsis,dungeons & dragons (2024),,
Lyrical,given_name,Dweomer,dungeons & dragons (2024),,
Lyrical,given_name,Evabeth,dungeons & dragons (2024),,
Lyrical,given_name,Jhessail,dungeons & dragons (2024),,
Lyrical,given_name,Keyleth,dungeons & dragons (2024),,
Lyrical,given_name,Netheria,dungeons & dragons (2024),,
Lyrical,given_name,Orianna,dungeons & dragons (2024),,
Lyrical,given_name,Sorcyl,dungeons & dragons (2024),,
Lyrical,given_name,Umarion,dungeons & dragons (2024),,
Lyrical,given_name,Velissa,dungeons & dragons (2024),,
Lyrical,family_name,Arvaniss,dungeons & dragons (2024),,
Lyrical,family_name,Brawnanvil,dungeons & dragons (2024),,
Lyrical,family_name,Daardendrian,dungeons & dragons (2024),,
Lyrical,family_name,Drachedandion,dungeons & dragons (2024),,
Lyrical,family_name,Endryss,dungeons & dragons (2024),,
Lyrical,family_name,Meliamne,dungeons & dragons (2024),,
Lyrical,family_name,Mishann,dungeons & dragons (2024),,
Lyrical,family_name,Silverfrond,dungeons & dragons (2024),,
Lyrical,family_name,Snowmantle,dungeons & dragons (2024),,
Lyrical,family_name,Summerbreeze,dungeons & dragons (2024),,
Lyrical,family_name,Thunderfoot,dungeons & dragons (2024),,
Lyrical,family_name,Zashir,dungeons & dragons (2024),,
Monosyllabic,given_name,Chen,dungeons & dragons (2024),,
Monosyllabic,given_name,Creel,dungeons & dragons (2024),,
Monosyllabic,given_name,Dain,dungeons & dragons (2024),,
Monosyllabic,given_name,Dorn,dungeons & dragons (2024),,
Monosyllabic,given_name,Flint,dungeons & dragons (2024),,
Monosyllabic,given_name,Glim,dungeons & dragons (2024),,
Monosyllabic,given_name,Henk,dungeons & dragons (2024),,
Monosyllabic,given_name,Krusk,dungeons & dragons (2024),,
Monosyllabic,given_name,Nox,dungeons & dragons (2024),,
Monosyllabic,given_name,Nyx,dungeons & dragons (2024),,
Monosyllabic,given_name,Rukh,dungeons & dragons (2024),,
Monosyllabic,given_name,Shan,dungeons & dragons (2024),,
Monosyllabic,family_name,Dench,dungeons & dragons (2024),,
Monosyllabic,family_name,Drog,dungeons & dragons (2024),,
Monosyllabic,family_name,Dusk,dungeons & dragons (2024),,
Monosyllabic,family_name,Holg,dungeons & dragons (2024),,
Monosyllabic,family_name,Horn,dungeons & dragons (2024),,
Monosyllabic,family_name,Imsh,dungeons & dragons (2024),,
Monosyllabic,family_name,Jask,dungeons & dragons (2024),,
Monosyllabic,family_name,Keth,dungeons & dragons (2024),,
Monosyllabic,family_name,Ku,dungeons & dragons (2024),,
Monosyllabic,family_name,Kung,dungeons & dragons (2024),,
Monosyllabic,family_name,Mott,dungeons & dragons (2024),,
Monosyllabic,family_name,Quaal,dungeons & dragons (2024),,
Sinister,given_name,Arachne,dungeons & dragons (2024),,
Sinister,given_name,Axyss,dungeons & dragons (2024),,
Sinister,given_name,Carrion,dungeons & dragons (2024),,
Sinister,given_name,Grinnus,dungeons & dragons (2024),,
Sinister,given_name,Melkhis,dungeons & dragons (2024),,
Sinister,given_name,Morthos,dungeons & dragons (2024),,
Sinister,given_name,Nadir,dungeons & dragons (2024),,
Sinister,given_name,Scandal,dungeons & dragons (2024),,
Sinister,given_name,Skellendyre,dungeons & dragons (2024),,
Sinister,given_name,Thaltus,dungeons & dragons (2024),,
Sinister,given_name,Valkora,dungeons & dragons (2024),,
Sinister,given_name,Vexander,dungeons & dragons (2024),,
Sinister,family_name,Doomwhisper,dungeons & dragons (2024),,
Sinister,family_name,Dreadfield,dungeons & dragons (2024),,
Sinister,family_name,Gallows,dungeons & dragons (2024),,
Sinister,family_name,Hellstryke,dungeons & dragons (2024),,
Sinister,family_name,Killraven,dungeons & dragons (2024),,
Sinister,family_name,Nightblade,dungeons & dragons (2024),,
Sinister,family_name,Norixius,dungeons & dragons (2024),,
Sinister,family_name,Shadowfang,dungeons & dragons (2024),,
Sinister,family_name,Valtar,dungeons & dragons (2024),,
Sinister,family_name,Winterspell,dungeons & dragons (2024),,
Sinister,family_name,Xandros,dungeons & dragons (2024),,
Sinister,family_name,Zarkynzorn,dungeons & dragons (2024),,
Whimsical,given_name,Cricket,dungeons & dragons (2024),,
Whimsical,given_name,Daisy,dungeons & dragons (2024),,
Whimsical,given_name,Dimble,dungeons & dragons (2024),,
Whimsical,given_name,Ellywick,dungeons & dragons (2024),,
Whimsical,given_name,Erky,dungeons & dragons (2024),,
Whimsical,given_name,Fiddlestyx,dungeons & dragons (2024),,
Whimsical,given_name,Fonkin,dungeons & dragons (2024),,
Whimsical,given_name,Golly,dungeons & dragons (2024),,
Whimsical,given_name,Mimsy,dungeons & dragons (2024),,
Whimsical,given_name,Pumpkin,dungeons & dragons (2024),,
Whimsical,given_name,Quarrel,dungeons & dragons (2024),,
Whimsical,given_name,Sybilwick,dungeons & dragons (2024),,
Whimsical,family_name,Borogove,dungeons & dragons (2024),,
Whimsical,family_name,Goldjoy,dungeons & dragons (2024),,
Whimsical,family_name,Hoddypeak,dungeons & dragons (2024),,
Whimsical,family_name,Huddle,dungeons & dragons (2024),,
Whimsical,family_name,Jollywind,dungeons & dragons (2024),,
Whimsical,family_name,Oneshoe,dungeons & dragons (2024),,
Whimsical,family_name,Scramblewise,dungeons & dragons (2024),,
Whimsical,family_name,Sunnyhill,dungeons & dragons (2024),,
Whimsical,family_name,Tallgrass,dungeons & dragons (2024),,
Whimsical,family_name,Timbers,dungeons & dragons (2024),,
Whimsical,family_name,Underbough,dungeons & dragons (2024),,
Whimsical,family_name,Wimbly,dungeons & dragons (2024),,
